client_id,total_dispositions,owner_dispositions,user_dispositions
2,1,1,0
3,1,0,0
12,1,1,0
20,1,1,0
24,1,1,0
29,1,1,0
32,1,1,0
33,1,1,0
41,1,1,0
42,1,1,0
43,1,1,0
44,1,1,0
47,1,1,0
48,1,1,0
52,1,1,0
55,1,1,0
72,1,1,0
87,1,1,0
92,1,1,0
98,1,1,0
99,1,0,0
102,1,1,0
103,1,0,0
114,1,1,0
115,1,0,0
123,1,1,0
125,1,1,0
126,1,0,0
129,1,1,0
134,1,1,0
135,1,0,0
138,1,1,0
141,1,1,0
143,1,1,0
147,1,1,0
148,1,0,0
151,1,1,0
153,1,1,0
162,1,1,0
171,1,1,0
172,1,0,0
176,1,1,0
178,1,1,0
181,1,1,0
182,1,0,0
185,1,1,0
193,1,1,0
195,1,1,0
196,1,0,0
197,1,1,0
199,1,1,0
200,1,0,0
203,1,1,0
204,1,0,0
208,1,1,0
209,1,0,0
226,1,1,0
227,1,1,0
228,1,1,0
232,1,1,0
238,1,1,0
239,1,1,0
240,1,1,0
250,1,1,0
255,1,1,0
265,1,1,0
267,1,1,0
270,1,1,0
271,1,0,0
274,1,1,0
282,1,1,0
283,1,0,0
284,1,1,0
288,1,1,0
289,1,1,0
294,1,1,0
295,1,1,0
312,1,1,0
330,1,1,0
331,1,1,0
336,1,1,0
337,1,0,0
338,1,1,0
349,1,1,0
364,1,1,0
365,1,1,0
366,1,0,0
373,1,1,0
387,1,1,0
391,1,1,0
392,1,1,0
393,1,0,0
399,1,1,0
408,1,1,0
416,1,1,0
417,1,0,0
423,1,1,0
432,1,1,0
439,1,1,0
440,1,1,0
448,1,1,0
454,1,1,0
461,1,1,0
465,1,1,0
470,1,1,0
476,1,1,0
477,1,0,0
478,1,1,0
479,1,1,0
480,1,0,0
484,1,1,0
485,1,1,0
487,1,1,0
488,1,0,0
493,1,1,0
496,1,1,0
501,1,1,0
505,1,1,0
509,1,1,0
511,1,1,0
515,1,1,0
516,1,0,0
520,1,1,0
521,1,1,0
523,1,1,0
534,1,1,0
536,1,1,0
537,1,1,0
548,1,1,0
551,1,1,0
554,1,1,0
555,1,0,0
556,1,1,0
559,1,1,0
561,1,1,0
574,1,1,0
583,1,1,0
588,1,1,0
591,1,1,0
593,1,1,0
596,1,1,0
597,1,1,0
606,1,1,0
613,1,1,0
621,1,1,0
623,1,1,0
624,1,0,0
625,1,1,0
629,1,1,0
649,1,1,0
651,1,1,0
652,1,1,0
653,1,1,0
664,1,1,0
665,1,1,0
668,1,1,0
672,1,1,0
675,1,1,0
676,1,1,0
689,1,1,0
692,1,1,0
693,1,0,0
706,1,1,0
720,1,1,0
740,1,1,0
748,1,1,0
749,1,0,0
750,1,1,0
752,1,1,0
753,1,0,0
754,1,1,0
757,1,1,0
768,1,1,0
778,1,1,0
782,1,1,0
786,1,1,0
788,1,1,0
814,1,1,0
823,1,1,0
835,1,1,0
836,1,0,0
839,1,1,0
841,1,1,0
842,1,1,0
844,1,1,0
845,1,0,0
859,1,1,0
860,1,0,0
864,1,1,0
865,1,0,0
876,1,1,0
886,1,1,0
891,1,1,0
892,1,1,0
895,1,1,0
896,1,1,0
897,1,0,0
900,1,1,0
901,1,1,0
907,1,1,0
909,1,1,0
914,1,1,0
924,1,1,0
925,1,1,0
926,1,1,0
941,1,1,0
946,1,1,0
950,1,1,0
951,1,0,0
957,1,1,0
958,1,0,0
976,1,1,0
978,1,1,0
979,1,0,0
980,1,1,0
999,1,1,0
1000,1,0,0
1008,1,1,0
1009,1,1,0
1010,1,0,0
1014,1,1,0
1029,1,1,0
1032,1,1,0
1033,1,0,0
1037,1,1,0
1038,1,1,0
1039,1,1,0
1040,1,1,0
1044,1,1,0
